PC1,PC2
-0.442014488,-0.811315874
-0.644229343,-1.068291425
-0.751173634,0.60306008
-0.612844639,0.436895637
-0.092309771,1.793749367
0.190262629,1.247877528
0.116282436,0.893070871
0.457227371,0.655371758
0.494357629,0.411092727
-0.760124838,0.41059933
-0.869862701,-1.009844343
-0.566009745,-0.882945139
-0.616181847,-0.954668865
-0.444387654,-0.602430099
-0.974922964,0.087104268
-0.911599092,-0.026471201
-0.892263086,0.76130828
0.145763143,0.618571712
1.216039077,1.123591726
1.69219719,0.054710252
0.971781465,0.296153057
-0.96095789,0.246212615
-0.883700752,-0.389640463
-0.57023524,-1.083069729
-0.500452949,-0.938731069
-0.738453481,-0.524889985
-0.689934748,-0.037518024
-0.660148755,-0.214169716
-0.241180092,1.032984457
-0.012828805,0.425335986
1.289831353,-0.017888009
1.696524527,-1.112890146
1.668416843,-0.380020798
-0.522275082,0.446603179
-0.907097012,-0.993272513
-0.545789813,-0.962086847
-0.482939421,-0.691030219
-0.711861438,-0.794208141
-0.86423819,0.034964477
-0.866738722,-0.50240602
-0.707826589,0.156818997
0.147207828,0.100425857
1.186861606,0.024631361
1.67064844,0.684336993
0.427719103,2.056509875
-0.502038013,0.746278111
-0.929028569,-1.310352743
-0.53025377,-0.627015563
-0.533828743,-0.966759576
-0.642389762,-0.60803605
-0.859392642,0.489401921
-0.464598043,0.221221198
-0.737032765,0.753616228
0.406222933,1.980157987
1.654137851,0.268760481
2.711130787,-1.811853913
1.285504448,-0.17622907
-1.026498407,0.249435366
-0.885490764,-0.96604826
-0.638947312,-0.585034798
-0.489877797,-0.962306971
-0.549286922,-0.969377997
-0.801397925,-0.007703452
-0.775794617,0.486261085
-0.801750735,0.427978456
0.52090867,3.112804412
1.049558296,0.762991147
2.678185721,-0.596877126
1.540389006,0.696702459
-0.552823943,0.550245682
-0.837634838,-1.008029972
-0.724335258,-1.15701347
-0.542309403,-0.94079149
-0.674811075,-0.627080671
-0.813339952,-1.154241873
-0.573534481,0.575939263
-0.03327423,0.509972697
-0.07801402,1.576021339
1.77174622,-0.556433617
1.330393987,-1.508757097
0.591856052,0.19899272
-0.946926764,-0.192016327
-0.832039652,-0.444860481
-0.79579074,0.19703355
-0.534830968,-0.74934509
-0.495132418,-0.529314
-0.594027933,-0.297989555
-0.605167867,0.794416323
0.551677285,3.161170749
0.339660261,0.914585558
0.999157599,1.343514216
2.304319396,-0.459685163
0.363501505,-0.37615015
-0.258945093,-0.136513967
-0.789735415,-1.017145711
-0.534912135,-0.92080809
-0.473418496,-0.973755999
-0.499554672,-0.835131383
-0.800082273,-0.507536601
-0.518531164,0.185406199
-0.10479897,1.349570886
0.412934352,0.235569035
1.526622566,-0.161214796
1.716376812,-1.311609849
0.594215593,0.347152842
-0.742443819,-0.683151686
-0.715553748,-0.47518653
-0.631559366,-0.842213022
-0.535708679,-1.004077544
-0.630739149,-0.749906005
-0.75117614,-0.104240399
-0.598834268,0.19775404
-0.680265384,-0.104879888
0.209561266,1.589802049
1.639003495,-0.106595101
2.059335046,-1.519473503
0.626985593,0.5535209
-0.870872222,0.173145999
-0.883412473,-0.427228678
-0.642286121,-0.901158236
-0.590959288,-0.927509783
-0.510923004,-0.671717916
-0.75932208,-0.050438796
-0.703898439,-0.022127736
-0.411188407,0.891304926
0.423792203,0.759343092
1.67944406,-0.599305861
2.986950617,-1.509041327
1.146440639,0.333178643
-0.197053809,1.221764428
-0.911123804,-0.859978971
-0.549216996,-1.069174922
-0.47081739,-0.962707051
-0.579737141,-0.794171876
-0.848163819,0.426663497
-0.637002241,0.759294409
-0.53897862,1.067044509
0.0926923,1.858075681
1.109700079,0.558774744
2.930778164,-0.320075675
0.648197544,-0.273592678
-0.54377111,-0.137946585
-0.800836708,-0.692972081
-0.557716496,-0.747731679
-0.705922052,-1.158024021
-0.663392855,-0.31522335
-0.978502013,-0.504329392
-0.488118472,0.788688196
-0.410551005,2.011882317
0.513264954,1.750649909
0.885629883,0.646491089
2.276702249,-0.268349387
0.819844165,-0.721576567
-0.667116789,-0.663300827
